,channel1,channel2,series1,series2,duration1,duration2,"cc_4,0","cc_4,1","cc_4,2","cc_4,3","cc_3,0","cc_3,1","cc_3,2","cc_2,0","cc_2,1","cc_1,0",min_cc,mean_cc
37,ch2,ch2,1,1,20,20,0.9999128477320477,0.9999322735130926,0.9998763360787968,0.999884444651672,0.9998861997874687,0.9999031740043798,0.9999876269334103,0.9998994106914983,0.9999086491395914,0.999993934490341,0.9998763360787968,0.99991848970223
38,ch1,ch1,2,2,20,20,0.949462502610642,0.9448138901388327,0.9559397904825354,0.9583946107476954,0.9490802689634905,0.9685629419988542,0.9540524213104178,0.9903437186291415,0.9464916416912299,0.941361446922636,0.941361446922636,0.9558503233495476
39,ch2,ch2,2,2,20,20,0.9996895051253782,0.9998376325052861,0.9996429515339312,0.9998911395331828,0.9998208683824972,0.9999844564522894,0.9997877068729846,0.9999527147528942,0.9997853439154656,0.9998198429415905,0.9996429515339312,0.9998212162015501
40,ch1,ch1,3,3,20,20,0.9706947603350249,0.9544939333738302,0.9954346067330758,0.9543178558766489,0.9641196278211247,0.9816775172781719,0.9569244394291971,0.977665496017418,0.9572013338367094,0.9598990164307695,0.9543178558766489,0.9672428587131969
41,ch2,ch2,3,3,20,20,0.9998992217404639,0.999952280910396,0.9999707897951344,0.9999862824815977,0.9999218477024875,0.9999632565416295,0.9999864847785901,0.9999547027391196,0.9999837651838714,0.9999818974585721,0.9998992217404639,0.9999600529331862
42,ch1,ch1,1,1,400,400,0.9396845610291736,0.9435150420669736,0.9486167326931355,0.9501097419039085,0.9339882537299247,0.9804251259783349,0.9941336304660294,0.940313600052044,0.9681343265002567,0.930713139969257,0.930713139969257,0.9529634154389036
43,ch2,ch2,1,1,400,400,0.9839951585146105,0.9947759646227115,0.999566589018946,0.9923570415847899,0.9981986823656281,0.9996583267703169,0.9954584963201736,0.9886429516140887,0.9973133681364973,0.9968683125598576,0.9839951585146105,0.9946834891507621
44,ch1,ch1,2,2,400,400,0.9792278316560452,0.9532491961151064,0.9645041895447116,0.9835417662146239,0.955101843342589,0.9489532704190576,0.9903932915721416,0.9494902311498551,0.9476482815325823,0.9553439090664649,0.9476482815325823,0.9627453810613178
45,ch2,ch2,2,2,400,400,0.9904113718171283,0.9973134221442274,0.9977297107359665,0.9999872591376081,0.9908793958990693,0.997567836093494,0.9979614463600878,0.9972068158451348,0.9999269876662998,0.9977042221010061,0.9904113718171283,0.9966688467800022
46,ch1,ch1,3,3,400,400,0.9308117045951951,0.943010609154127,0.9426247171616782,0.9943700549949845,0.9350247429238054,0.946548019632836,0.9478472471194709,0.9501387508409519,0.9538510862896902,0.9753464816052473,0.9308117045951951,0.9519573414317986
47,ch2,ch2,3,3,400,400,0.9723468497631252,0.9762646586426116,0.9939074626204255,0.9955393919524592,0.9896067384854234,0.9920104498023998,0.9998590339495571,0.9917967893844267,0.9939004469725495,0.9997640307541985,0.9723468497631252,0.9904995852327177
48,ch1,ch1,1,1,50,50,0.9089542005509417,0.9934226745167035,0.9270800741431588,0.8969331311550478,0.8851542362076408,0.8890160706511092,0.977004483092243,0.8711340062001558,0.9242970516558339,0.9098737572630314,0.8711340062001558,0.9182869685435866
49,ch2,ch2,1,1,50,50,0.9998584529975272,0.9999794885400016,0.9999879432574108,0.9999950826817282,0.9998710935947596,0.9999881123539063,0.9999961402126667,0.999879776251759,0.9999933279829432,0.999889176675373,0.9998584529975272,0.9999438594548076
50,ch1,ch1,2,2,50,50,0.9489504052687711,0.9568851499197508,0.9176570078789461,0.8614799322127082,0.8377618795998032,0.8766456918353474,0.8430371600679718,0.9530104937067065,0.8872869908720336,0.9002676218187413,0.8377618795998032,0.898298233318078
51,ch2,ch2,2,2,50,50,0.9999485292104832,0.999954722089676,0.999963732509313,0.9999600007260417,0.9999737806701718,0.9999808318084832,0.9999935751851959,0.9999848225533211,0.9999896469284347,0.9999954677760745,0.9999485292104832,0.9999745109457197
52,ch1,ch1,3,3,50,50,0.9255794737793264,0.8764978361835836,0.9319639742983403,0.9902084130648582,0.9573329211671687,0.8680463842893007,0.9112957633780502,0.8790455893894468,0.8819285826321988,0.8595764802107011,0.8595764802107011,0.9081475418392977
53,ch2,ch2,3,3,50,50,0.9999507035443256,0.999966544108883,0.999976119479788,0.9999868307816712,0.9999585742194226,0.9999779345148121,0.9999854290900083,0.9999794666243141,0.9999894806646583,0.9999898851263317,0.9999507035443256,0.9999760968154214
54,ch1,ch1,1,1,6,6,0.9698907231287023,0.9129218250102289,0.8826649388443021,0.9024257028811211,0.9435846243918836,0.9917802442080176,0.972377606514172,0.901616765100165,0.9615914031641133,0.9531878402529835,0.8826649388443021,0.939204167349569
55,ch2,ch2,1,1,6,6,0.9998864131366044,0.9999347469626477,0.9999657768457197,0.9999870435349103,0.9999329759647028,0.9999681680931195,0.9999903006765387,0.9999663798528245,0.9999873842240417,0.9999868538329862,0.9998864131366044,0.9999606043124094
56,ch1,ch1,2,2,6,6,0.9325227012933849,0.9350699258573617,0.9571252566383973,0.9755194783641846,0.9679045144490699,0.9385970209224582,0.9331528504570176,0.9162441584603754,0.9329425553583945,0.9469979452424572,0.9162441584603754,0.9436076407043099
57,ch2,ch2,2,2,6,6,0.9999380845164823,0.9999609047093553,0.9999789603065309,0.9999872156961945,0.9999612045973806,0.9999742749413105,0.9999925880647891,0.9999788909845647,0.999988806401113,0.9999933661826718,0.9999380845164823,0.9999754296400394
58,ch1,ch1,3,3,6,6,0.983863248437943,0.9273296578866623,0.9957562196139581,0.9099714090848305,0.909037420152711,0.983049908622345,0.9065481115984158,0.9711226672986104,0.9292808710489205,0.9194128117563567,0.9065481115984158,0.9435372325500755
59,ch2,ch2,3,3,6,6,0.9997460121222287,0.9997566932367,0.9998219911557596,0.9998659792744886,0.999948016120974,0.9999615493121707,0.9999774315187308,0.9999763266290023,0.9999881992942855,0.999986952804738,0.9997460121222287,0.9999029151469078
